date.gs,마스크_01,스타킹_01,스테디셀러_01,일회용품_01,"계절성(여름,겨울)_01",마스크_02,스타킹_02,스테디셀러_02,일회용품_02,"계절성(여름,겨울)_02",마스크_03,스타킹_03,스테디셀러_03,일회용품_03,"계절성(여름,겨울)_03",마스크_04,스타킹_04,스테디셀러_04,일회용품_04,"계절성(여름,겨울)_04",스테디셀러_la,우상향상품_la,"계절성(가을,겨울)_la",계절성(여름)_la,최대기온,최대풍속,최소기온,평균기온,평균풍속,총강수량,일교차,미세먼지농도(㎍/㎥),미세먼지언급량,맛집언급량,취미언급량,건강언급량,데이터언급량
2016-01-01,42.0,77.0,8022.0,210.0,5071.0,49.0,112.0,10057.0,371.0,7289.0,63.0,91.0,8386.0,420.0,6480.0,77.0,280.0,9979.0,462.0,8297.0,37062.0,7387.0,3820.0,5638.0,4.928,2.608,-2.576,1.8320000000000003,0.9800000000000004,0.0,7.504000000000001,56.0,312,3843,1984,9386,2427
2016-01-02,35.0,105.0,7863.0,182.0,4936.0,14.0,147.0,8632.0,252.0,6199.0,0.0,126.0,8842.0,371.0,6162.0,70.0,182.0,10357.0,462.0,8976.0,42207.0,6947.0,4806.0,6217.0,10.088,3.1,2.572,6.471999999999998,1.296,0.0,7.516,42.0,399,5105,2362,6338,2777
2016-01-03,56.0,112.0,6858.0,266.0,4594.0,105.0,147.0,8207.0,294.0,6243.0,56.0,217.0,9494.0,294.0,5371.0,112.0,259.0,9042.0,539.0,8390.0,41589.0,8044.0,4255.0,5675.0,9.516,2.648,4.468,6.5920000000000005,0.924,0.0,5.047999999999999,86.0,1019,5374,2295,5945,2733
2016-01-04,49.0,98.0,6348.0,259.0,4099.0,70.0,140.0,8523.0,266.0,4775.0,91.0,154.0,9075.0,336.0,4540.0,154.0,301.0,10468.0,420.0,8169.0,43452.0,7205.0,3524.0,5858.0,6.784,4.12,-2.06,2.8000000000000007,2.132,0.0,8.844000000000003,73.0,1888,6991,2678,9748,3438
2016-01-05,21.0,56.0,6423.0,182.0,3534.0,28.0,77.0,9043.0,280.0,4838.0,42.0,203.0,8795.0,336.0,4055.0,154.0,217.0,10444.0,462.0,8946.0,36334.0,6807.0,4036.0,5746.0,1.5919999999999999,3.6599999999999993,-3.8240000000000007,-1.7599999999999998,1.704,0.0,5.416,31.0,951,6807,2922,9611,3518
2016-01-06,14.0,119.0,8906.0,203.0,3443.0,49.0,105.0,9326.0,329.0,4517.0,35.0,175.0,8933.0,273.0,4282.0,175.0,252.0,10196.0,504.0,8250.0,39728.0,7208.0,4729.0,5343.0,2.423999999999999,3.208,-3.896,-0.8079999999999999,1.3199999999999996,0.0,6.320000000000001,49.0,622,6746,2608,9561,4007
2016-01-07,7.0,63.0,8268.0,266.0,3624.0,21.0,140.0,8491.0,280.0,4599.0,21.0,147.0,8428.0,378.0,4752.0,112.0,266.0,10540.0,630.0,8804.0,44509.0,7716.0,3746.0,5818.0,1.6720000000000004,3.648,-5.044,-2.3640000000000003,1.7559999999999996,0.0,6.7159999999999975,40.0,522,6795,2678,9607,3387
2016-01-08,14.0,112.0,8645.0,231.0,4365.0,35.0,175.0,8602.0,266.0,5259.0,70.0,147.0,8288.0,378.0,5256.0,98.0,392.0,10218.0,644.0,8377.0,43524.0,7973.0,4728.0,6768.0,1.7280000000000002,3.92,-6.32,-2.296,1.5319999999999998,0.0,8.048,33.0,481,6371,2461,9053,3096
2016-01-09,42.0,63.0,8441.0,238.0,4977.0,42.0,210.0,7926.0,280.0,6566.0,21.0,147.0,9628.0,259.0,5931.0,70.0,280.0,10263.0,553.0,8644.0,52895.0,9033.0,5240.0,6767.0,2.4600000000000004,3.896,-5.06,-1.084,1.516,0.0,7.520000000000001,39.0,259,4868,2215,5499,2453
2016-01-10,35.0,119.0,7678.0,203.0,5118.0,7.0,210.0,8394.0,378.0,5531.0,35.0,133.0,7879.0,413.0,6705.0,105.0,322.0,10373.0,651.0,8944.0,49393.0,7972.0,4691.0,6106.0,4.5280000000000005,3.891999999999999,-1.8519999999999999,1.072,1.7919999999999998,0.0,6.380000000000001,28.0,285,5107,2355,6175,2810
