date.gs,reg_02.gs,마스크,스타킹,스테디셀러,일회용품,"계절성(여름,겨울)"
2016-01-01,1분위수,42.0,77.0,8022.0,210.0,5071.0
2016-01-01,2분위수,49.0,112.0,10057.0,371.0,7289.0
2016-01-01,3분위수,63.0,91.0,8386.0,420.0,6480.0
2016-01-01,4분위수,77.0,280.0,9979.0,462.0,8297.0
2016-01-02,1분위수,35.0,105.0,7863.0,182.0,4936.0
2016-01-02,2분위수,14.0,147.0,8632.0,252.0,6199.0
2016-01-02,3분위수,0.0,126.0,8842.0,371.0,6162.0
2016-01-02,4분위수,70.0,182.0,10357.0,462.0,8976.0
2016-01-03,1분위수,56.0,112.0,6858.0,266.0,4594.0
2016-01-03,2분위수,105.0,147.0,8207.0,294.0,6243.0
2016-01-03,3분위수,56.0,217.0,9494.0,294.0,5371.0
2016-01-03,4분위수,112.0,259.0,9042.0,539.0,8390.0
2016-01-04,1분위수,49.0,98.0,6348.0,259.0,4099.0
2016-01-04,2분위수,70.0,140.0,8523.0,266.0,4775.0
2016-01-04,3분위수,91.0,154.0,9075.0,336.0,4540.0
2016-01-04,4분위수,154.0,301.0,10468.0,420.0,8169.0
2016-01-05,1분위수,21.0,56.0,6423.0,182.0,3534.0
2016-01-05,2분위수,28.0,77.0,9043.0,280.0,4838.0
2016-01-05,3분위수,42.0,203.0,8795.0,336.0,4055.0
2016-01-05,4분위수,154.0,217.0,10444.0,462.0,8946.0
2016-01-06,1분위수,14.0,119.0,8906.0,203.0,3443.0
2016-01-06,2분위수,49.0,105.0,9326.0,329.0,4517.0
2016-01-06,3분위수,35.0,175.0,8933.0,273.0,4282.0
2016-01-06,4분위수,175.0,252.0,10196.0,504.0,8250.0
2016-01-07,1분위수,7.0,63.0,8268.0,266.0,3624.0
2016-01-07,2분위수,21.0,140.0,8491.0,280.0,4599.0
2016-01-07,3분위수,21.0,147.0,8428.0,378.0,4752.0
2016-01-07,4분위수,112.0,266.0,10540.0,630.0,8804.0
2016-01-08,1분위수,14.0,112.0,8645.0,231.0,4365.0
2016-01-08,2분위수,35.0,175.0,8602.0,266.0,5259.0
2016-01-08,3분위수,70.0,147.0,8288.0,378.0,5256.0
2016-01-08,4분위수,98.0,392.0,10218.0,644.0,8377.0
2016-01-09,1분위수,42.0,63.0,8441.0,238.0,4977.0
2016-01-09,2분위수,42.0,210.0,7926.0,280.0,6566.0
2016-01-09,3분위수,21.0,147.0,9628.0,259.0,5931.0
2016-01-09,4분위수,70.0,280.0,10263.0,553.0,8644.0
2016-01-10,1분위수,35.0,119.0,7678.0,203.0,5118.0
2016-01-10,2분위수,7.0,210.0,8394.0,378.0,5531.0
2016-01-10,3분위수,35.0,133.0,7879.0,413.0,6705.0
2016-01-10,4분위수,105.0,322.0,10373.0,651.0,8944.0
2016-01-11,1분위수,35.0,77.0,7717.0,336.0,3727.0
2016-01-11,2분위수,14.0,112.0,8502.0,294.0,4443.0
2016-01-11,3분위수,70.0,56.0,8457.0,287.0,4417.0
2016-01-11,4분위수,154.0,217.0,11223.0,364.0,7616.0
2016-01-12,1분위수,70.0,98.0,7788.0,280.0,4137.0
2016-01-12,2분위수,42.0,140.0,7697.0,266.0,5064.0
2016-01-12,3분위수,42.0,70.0,8649.0,315.0,4024.0
2016-01-12,4분위수,84.0,308.0,9272.0,532.0,7174.0
2016-01-13,1분위수,28.0,49.0,7930.0,308.0,4108.0
2016-01-13,2분위수,77.0,147.0,9121.0,336.0,4688.0
2016-01-13,3분위수,21.0,126.0,8665.0,266.0,4726.0
2016-01-13,4분위수,140.0,266.0,9970.0,469.0,8928.0
2016-01-14,1분위수,28.0,91.0,8008.0,217.0,3641.0
2016-01-14,2분위수,28.0,147.0,7902.0,273.0,4841.0
2016-01-14,3분위수,35.0,154.0,9022.0,343.0,4310.0
2016-01-14,4분위수,84.0,161.0,10856.0,546.0,8011.0
2016-01-15,1분위수,28.0,112.0,9217.0,308.0,4899.0
2016-01-15,2분위수,21.0,140.0,8970.0,329.0,5610.0
2016-01-15,3분위수,70.0,119.0,8736.0,301.0,5239.0
2016-01-15,4분위수,147.0,350.0,9521.0,560.0,8531.0
2016-01-16,1분위수,14.0,105.0,8079.0,259.0,4755.0
2016-01-16,2분위수,14.0,140.0,9138.0,399.0,5888.0
2016-01-16,3분위수,35.0,140.0,9649.0,336.0,6159.0
2016-01-16,4분위수,28.0,294.0,9949.0,448.0,8870.0
2016-01-17,1분위수,7.0,112.0,7781.0,266.0,4772.0
2016-01-17,2분위수,56.0,105.0,8851.0,287.0,5596.0
2016-01-17,3분위수,35.0,112.0,9085.0,343.0,6238.0
2016-01-17,4분위수,84.0,371.0,9669.0,560.0,8841.0
2016-01-18,1분위수,56.0,77.0,7267.0,224.0,2798.0
2016-01-18,2분위수,84.0,126.0,9036.0,273.0,4605.0
2016-01-18,3분위수,112.0,126.0,7774.0,315.0,3662.0
2016-01-18,4분위수,168.0,287.0,8742.0,483.0,8166.0
2016-01-19,1분위수,63.0,98.0,7989.0,322.0,2789.0
2016-01-19,2분위수,28.0,133.0,8741.0,343.0,4157.0
2016-01-19,3분위수,175.0,98.0,9151.0,280.0,4021.0
2016-01-19,4분위수,238.0,273.0,10393.0,497.0,7586.0
2016-01-20,1분위수,63.0,42.0,8172.0,301.0,4071.0
2016-01-20,2분위수,70.0,98.0,8709.0,301.0,4628.0
2016-01-20,3분위수,63.0,98.0,8162.0,217.0,5050.0
2016-01-20,4분위수,105.0,168.0,10218.0,427.0,7544.0
2016-01-21,1분위수,42.0,105.0,7772.0,280.0,3329.0
2016-01-21,2분위수,35.0,147.0,8139.0,343.0,5196.0
2016-01-21,3분위수,63.0,112.0,9305.0,259.0,4292.0
2016-01-21,4분위수,126.0,252.0,9967.0,441.0,7909.0
2016-01-22,1분위수,56.0,119.0,8470.0,224.0,4013.0
2016-01-22,2분위수,28.0,119.0,10081.0,336.0,5043.0
