날짜,과자,라면,마스크,맥주,면도기,생리대,생수,숙취해소제,스타킹,아이스크림,우산,탄산음료,네일,립컬러,립케어,마스크팩,바디로션,선케어,제모제,체중조절,크림로션,훼이셜클렌저,미세먼지언급량,맛집언급량,취미언급량,건강언급량,데이터언급량,지역번호,최대기온,최대풍속,최소기온,평균기온,평균풍속,총강수량,일교차,미세먼지농도(㎍/㎥)
2016-01-01,45293.0,19183.0,266.0,12811.0,343.0,1993.0,6269.0,2783.0,638.0,15929.0,7.0,3480.0,1491.0,6260.0,6192.0,35566.0,6444.0,689.0,72.0,1307.0,5531.0,6592.0,312,3843,1984,9386,2427,406.68,4.928,2.608,-2.5759999999999996,1.8320000000000005,0.9800000000000003,0.0,7.504000000000001,56.0
2016-01-02,39214.0,18897.0,154.0,11813.0,315.0,1833.0,6004.0,2549.0,820.0,13086.0,21.0,3103.0,1853.0,7065.0,10570.0,76466.0,8378.0,831.0,145.0,1635.0,12502.0,7466.0,399,5105,2362,6338,2777,406.68,10.088,3.1,2.572,6.471999999999998,1.296,0.0,7.516,42.0
2016-01-03,36347.0,19335.0,329.0,11476.0,329.0,1423.0,5365.0,2057.0,917.0,14667.0,7.0,3089.0,1673.0,6845.0,7648.0,66757.0,8123.0,615.0,108.0,2112.0,8927.0,7542.0,1019,5374,2295,5945,2733,406.68,9.516,2.648,4.468,6.5920000000000005,0.924,0.0,5.047999999999999,86.0
2016-01-04,30274.0,20782.0,441.0,8663.0,245.0,1996.0,7022.0,1600.0,996.0,8596.0,7.0,3216.0,1783.0,7137.0,9032.0,76978.0,9251.0,688.0,290.0,1417.0,10424.0,8054.0,1888,6991,2678,9748,3438,406.68,6.784,4.12,-2.0599999999999996,2.8000000000000007,2.1319999999999997,0.0,8.844000000000001,73.0
2016-01-05,31962.0,21753.0,280.0,8497.0,203.0,1818.0,6060.0,2253.0,842.0,8602.0,,2878.0,1238.0,6883.0,7356.0,74894.0,8819.0,651.0,108.0,1563.0,10603.0,7906.0,951,6807,2922,9611,3518,406.68,1.592,3.6599999999999993,-3.8240000000000007,-1.7599999999999998,1.704,0.0,5.4159999999999995,31.0
2016-01-06,36475.0,23538.0,273.0,9212.0,238.0,1770.0,6125.0,2712.0,820.0,8749.0,,2982.0,1637.0,7103.0,9434.0,65303.0,8266.0,687.0,72.0,1054.0,9253.0,7977.0,622,6746,2608,9561,4007,406.68,2.423999999999999,3.208,-3.8959999999999995,-0.8079999999999999,1.3199999999999996,0.0,6.320000000000001,49.0
2016-01-07,35882.0,24148.0,161.0,9143.0,280.0,2030.0,5902.0,2513.0,848.0,9164.0,,3205.0,2002.0,7210.0,9401.0,152835.0,8707.0,579.0,180.0,1416.0,10785.0,7905.0,522,6795,2678,9607,3387,406.68,1.6720000000000004,3.648,-5.044,-2.3640000000000003,1.7559999999999996,0.0,6.7159999999999975,40.0
2016-01-08,42974.0,24883.0,217.0,12588.0,378.0,2199.0,6852.0,3647.0,1143.0,11274.0,14.0,2992.0,1636.0,8489.0,10164.0,78253.0,9621.0,724.0,217.0,1126.0,11516.0,8600.0,481,6371,2461,9053,3096,406.68,1.7280000000000002,3.9199999999999995,-6.32,-2.296,1.5319999999999998,0.0,8.048,33.0
2016-01-09,45776.0,23786.0,259.0,12652.0,315.0,1981.0,6876.0,3734.0,1231.0,14147.0,,3593.0,1891.0,8200.0,10786.0,74895.0,10274.0,798.0,181.0,1271.0,14727.0,8050.0,259,4868,2215,5499,2453,406.68,2.4600000000000004,3.8959999999999995,-5.06,-1.084,1.516,0.0,7.520000000000001,39.0
2016-01-10,46670.0,23426.0,343.0,12328.0,336.0,1865.0,6336.0,2395.0,784.0,14172.0,14.0,3622.0,1634.0,7067.0,8814.0,68694.0,9544.0,1015.0,252.0,1563.0,12903.0,7466.0,285,5107,2355,6175,2810,406.68,4.5280000000000005,3.8919999999999986,-1.852,1.072,1.7919999999999998,0.0,6.380000000000001,28.0
2016-01-11,33881.0,24326.0,343.0,9092.0,266.0,1904.0,6287.0,1697.0,714.0,8742.0,7.0,2730.0,1927.0,7062.0,9622.0,77672.0,8491.0,398.0,253.0,1781.0,10896.0,7612.0,432,7031,2489,9407,3285,406.68,1.068,3.64,-5.744000000000001,-3.076000000000001,1.744,0.0,6.812,41.0
2016-01-12,35132.0,25030.0,273.0,9078.0,182.0,2016.0,6355.0,2430.0,861.0,8798.0,,2729.0,1527.0,7686.0,9033.0,69243.0,10354.0,761.0,108.0,1234.0,10966.0,7683.0,373,6500,2357,8905,2913,406.68,0.676,3.576,-8.064,-4.255999999999999,1.5959999999999996,0.0,8.739999999999998,49.0
2016-01-13,40460.0,25267.0,266.0,9771.0,189.0,1938.0,5896.0,2675.0,814.0,9271.0,455.0,2976.0,1563.0,6957.0,10167.0,74751.0,9289.0,726.0,217.0,1272.0,11593.0,7503.0,294,6522,2476,8769,2949,406.68,0.3559999999999999,4.188,-7.5440000000000005,-3.7399999999999993,1.5679999999999996,0.02,7.9,35.0
2016-01-14,37649.0,24297.0,175.0,9673.0,273.0,1720.0,5719.0,3097.0,771.0,9548.0,35.0,3336.0,1782.0,7650.0,11405.0,63590.0,9946.0,581.0,327.0,1419.0,8961.0,7576.0,287,6227,2325,8509,2616,406.68,1.1199999999999999,3.292,-7.6080000000000005,-2.932,1.204,0.0,8.728000000000002,42.0
