상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
크린토피아코인워시목2동주,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 555-2,126.8704524,37.54352307
코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 구로동 1131-8,126.8989124,37.48037645
코인워시24수유점,수유점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강북구 미아동 187-37,127.0245778,37.63285652
코인워시24빨래터풍납점,풍납점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 풍납동 155-23,127.1202581,37.53464659
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 양천구 목동 718-2,126.8658309,37.54009088
코인워시24셀프빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 종로구 창신동 647-16,127.0104399,37.57374781
코인워시24빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 군자동 48-34,127.0752436,37.55512597
코인워시24빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 방이동 158-9,127.1190442,37.51279591
코인워시24,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 124-6,126.9176082,37.59501748
코인워시24시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 자양동 851-19,127.0663835,37.53773805
크린위드잠실코인워시점,잠실코인워시점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 삼전동 42,127.0886057,37.50155404
일렉트로룩스코인워시,성내점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 431-16,127.1325325,37.52703335
크린토피아코인워시신당6동점,코인워시신당6동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 신당동 846,127.0172685,37.56237962
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 마천동 19-14,127.1446398,37.50111706
크린토피아코인워시365북가좌2동점,365북가좌2동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 북가좌동 286-18,126.9158902,37.57996346
크린토피아코인워시,강동둔촌역점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강동구 성내동 427-51,127.1333506,37.52770614
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 오금동 72-6,127.1352832,37.50435583
크린토피아코인워시남가좌래미안1차점,코인워시남가좌래미안1차점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서대문구 북가좌동 286-18,126.9158902,37.57996346
크린토피아코인워시서초서울고점,코인워시서초서울고점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 서초동 1523-15,127.0080426,37.48640703
크린토피아코인워시,코인워시,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 마곡동 784-8,126.8397959,37.56478754
크린토피아코인워시마곡역점,코인워시마곡역점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 마곡동 773-1,126.828195,37.56037504
크린토피아코인워시방학동도깨비시장점,코인워시방학동도깨비시장점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 634-34,127.0359474,37.66658553
크린토피아코인워시수락파르코,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 1267,127.0558038,37.68018053
크린토피아코인워시송파파크하비오점,코인워시송파파크하비오점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 문정동 618,127.1248723,37.47961708
코인워시24시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 삼전동 8-8,127.0898098,37.50484318
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 아현동 326-24,126.9547873,37.55593217
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 구로구 구로동 106-10,126.8916307,37.49799591
크린토피아코인워시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 석촌동 215-14,127.0986358,37.50075697
크린토피아코인워시서경대점,코인워시서경대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 정릉동 266-108,127.0095099,37.61146655
크린토피아코인워시양재2동,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 양재동 368-11,127.0447807,37.46953559
코인워시24빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 봉천동 1631-11,126.9627647,37.47597145
코인빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 휘경동 286-140,127.0605946,37.58785347
크린토피아,코인워시독립문현대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 종로구 무악동 82,126.9584347,37.57522864
크린토피아,코인워시도봉점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 도봉동 631-21,127.0478069,37.67520562
크린토피아,코인워시응암점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 은평구 응암동 124-29,126.9174533,37.59476377
크린토피아,코인워시답십리점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 답십리동 178,127.0524173,37.57283978
크린토피아,코인워시마포아현초교점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 아현동 326-24,126.9547873,37.55593217
크린토피아,코인워시상계주공7단지점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 상계동 581-51,127.0622854,37.6588057
크린토피아,코인워시송파고분로점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 송파구 석촌동 215-14,127.0986358,37.50075697
크린토피아,코인워시공릉2동점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 공릉동 408-125,127.0785321,37.62625313
크린토피아,코인워시왕십리센트라스점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성동구 하왕십리동 700,127.0240621,37.56654474
크린토피아,코인워시신당약수점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 신당동 373-8,127.0118211,37.55403553
크린토피아,코인워시화곡보람점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 98-101,126.8449819,37.54120429
크린토피아,코인워시방학초교점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 304-30,127.0319933,37.66295804
크린토피아,코인워시우이시장점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강북구 수유동 254-4,127.0202563,37.64530904
크린토피아,코인워시성신여대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 동선동2가 185,127.0203101,37.58940916
크린토피아,코인워시반포미도점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 반포동 49-11,127.0104096,37.50069058
크린토피아,코인워시덕성여대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 쌍문동 492-23,127.0154681,37.65608156
크린토피아,"코인워시,방학1동점",생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 방학동 703,127.0410258,37.66655485
크린토피아,코인워시쌍문중앙점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 도봉구 창동 658-2,127.0358844,37.6486725
크린토피아,코인워시서울과기대점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 노원구 하계동 162,127.0728529,37.63565152
크린토피아,코인워시가산동주민센터점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 금천구 가산동 143-20,126.8903319,37.47724162
크린토피아,코인워시상도스위트점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 상도동 351-5,126.9333394,37.50193903
크린토피아,코인워시자곡더미라클점,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강남구 자곡동 634,127.095364,37.47196107
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 강동구 천호동 453-24,127.1275302,37.53882738
파코인터내셔날,,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,서울특별시 금천구 가산동 459-29,126.8779685,37.4829276
토탈데코인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 동대문구 전농동 295-124,127.0574266,37.57598849
코인이앤씨,,부동산,분양,건물분양-종합,,서울특별시 강남구 개포동 1219-5,127.0493158,37.47652835
코인빌AS센터,,생활서비스,개인/가정용품수리,개인/가정용품수리-종합,그외 기타 개인 및 가정용품 수리업,서울특별시 강서구 화곡동 891-13,126.849933,37.52901655
코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 종로구 명륜4가 188-4,126.9985041,37.58248637
코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 47-10,127.0685352,37.54214317
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1613-1,126.9556297,37.4784766
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1633-19,126.9641276,37.47552387
슈퍼스타코인노래여습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 봉천동 1598-18,126.9525627,37.47869274
코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 광진구 화양동 48-21,127.0669565,37.5416982
코인노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 동대문구 전농동 150,127.0545252,37.58340792
