제목,내용요약
LG스타일러 솔직 후기 알려주세요~,Lg스타일러 사용해보신 분 솔직 후기 좀 알려주세요. 백만원대 넘는 가격인데 그 가격에 만족하시나요? 겨울에 한번 또는 두번 입은 코트는 드라이 안하고 스타일러만 하고 보관해도 될까요?
스타일러 그렇게 좋나요!?,"스타일러 얘기에 귀가 쫑끗 하네요!! 룸바,브라바,스타일러 한꺼번에 못 가겠고 이 셋중 어떤걸 먼저 사야 개이득 ㅋㅋ일까요!? 브라바가 제일 땡기기는 해요!!ㅋㅋ걸레질 귀찮아서..ㅋㅋ"
LG 스타일러 질문요,"스타일러 5벌, 3벌중 어떤게 좋을까요? 2. 거실, 안방, 드레스룸, 애들방 어느곳이 제일 적합할까요?... 스타일러 위치 옮기고 싶을때 남자 혼자 옮길수 있을까요? 힘은 없지만 제가 좀 도와주면 ㅎㅎ 예를..."
스타일러 문여닫는 부분 불량일까요??,얼마전 스타일러 구매해서 설치를 하였는데요. 물티슈로 먼지 닦다가 발견했어요~ 문여닫는 저... 원래 저렇게 만들어진건지 궁긍해서요~ 엘* 스타일러 쓰시는 분들 ...
스타일러S5BB 찰떡할인,요즘 밖에서 미세먼지를 얼굴은 가리지만 몸에 뭍은 미세먼지가걱정도 되고해서 저의 최애장품 스타일러S5BB를 소개해볼려고 합니다 짜라란~! LG트롬스타일러 입니다 ...
엘지스타일러가격 드라이클리닝 비용으로~,엘지스타일러가격 드라이클리닝 비용으로 부담없게! 요즘 스타일러 모르는 사람 거의 없잖아요~그중에서도 스타일러 브랜드 선두주자 트롬은 쓰지 않는 사람들도다 한번씩은...
스타일러 vs 건조기,예전에 지나가는말로 스타일러 가지고 싶다 그랬더니 남편이 이번 생일에 사주겠답니다 ㅋ 이런 비싼... 그냥 스타일러 사라고 하네요 저희집이 극 건조한 집이라 빨래가 금방 마르다보니 다른 장점을...
스타일러 S3RER 린넨브라운 팝니다,"개인거래(판매), 판매완료, 가격 600,000원, 안전거래 미사용, 스타일러 S3RER 린넨브라운 팝니다... 그리고, 이사를 하는 바람에, 스타일러 옷걸이를 ..."
스타일러 에어드레서... 사용해보신 분~,미세먼지에 lg 스타일러나 삼성 에어 드레서 중 구입하려는데 .. 스타일러가 더 나아보이긴 하지만 층간소음 일으키지 않을까 걱정되네요. 그래서 에어드레스 살까 하는데.. 그래도 원조인 스타일러에 미련이...
스타일러or에어드레서,스타일러 or 에어드레서 사용하시는분들 장단점좀알려주세요~^^ 일단 에어드레서는 미세먼지필터가 있어서 더 끌리는데ㅜㅜ 원래 가전은 LG다해서 스타일러 무조건사자! 였는데 에어드레서가 후반에...
lg트롬스타일러 셀프케어,-- 며칠전에 lg트롬스타일러 렌탈 받아서 집에 들여놨는데 오늘을 위한 운명 같은 만남이었나 봅니다ㅎㅎ 급하게 lg트롬스타일러 돌려 주었더니 미세먼지같은것들이다 ...
스타일러와 건조기,스타일러와 건조기 둘다있음 좋겠지만 우선 하나만 구매하려고합니다 다들 건조기를 강추하고 있지만 전 왜 건조기 보다 스타일러가 더 갖고싶죠? ㅎㅎ 둘중 하나만 산다면 어떤게 더 잘써질까요? 둘다...
스타일러 필요할까요?,스타일러 하나 있음 좋겠다 생각했는데 미세먼지 땜에 제가 보기엔 너무 필요한 가전인것 같아요. 근데 앞으로 이사할지 모르니 신랑은 짐 늘리지 말자 하는데 저는 하루라도 빨리 들이고 싶어요. 스타일러...
건조기랑 스타일러,건조기옷이줄어든다길래 고민하다 주변에서 다만족하기도하고 장점이더많은거 같아서 그냥사기로결심했는데요 ㅋ 스타일러 쓰시는분들 만족하시나요?? 스타일러는 겨울에만 잘쓸꺼같아서 고민이에요 ㅎ...
스타일러 사신분들 만족하시나용,아무래도 스타일러나 에어드레서 둘중 하나 사야될거 같아요.. 미세먼지때매 옷을 매일 빨수도 없고.. 털어서 넣어놓긴 하는데 찝찝하고.. 에어드레서나 스타일러 사신분들 만족하시나요? 괜히 자꾸 뭘...
스타일러 3벌짜리도 괜찮을까요?,늘 고민만 하다 스타일러 들이기로 맘 먹었는데 삼성서 에어드레서 나와서 결제 직전 스톱... 고민 고민하다 스타일러 너무 탐나서 그냥 사자 하던차에 에어드레서가 나왔고. 에어드레서 사기로 했는데...
세탁기 건조기 스타일러,19kg 삼성 드럼 lg스타일러 lg 9kg 건조기 거의 3년 정도 사용 각 40만원 3월1일 이삿짐 내릴때 가져가셔야 해요
LG 트롬 스타일러 팝니다.,"개인거래(판매), 판매중, 가격 700,000원, 안전거래 미사용, LG 트롬 스타일러 팝니다., LG 트롬 스타일러 팝니다. 금액은 70만원이고, 상태는 매우 ..."
스타일러와 에어드레서,스타일러랑 에어드레서중에 뭐가 좋을까요? 써보신 분 알려주세요~
스타일러 괜찮은가요?,돈을 (왠지 필수가 아닌듯 해서 ) 스타일러로 대상을 바꾸며 고민하고있는데요 써보신분들 느끼셨던 장단점 댓글 주시면 많은 도움될거같아요 그리고 스타일러 매일 사용하면 드라이 자주 안시켜도 되나요?
스타일러 말인데요,그럼 셔츠 바지 마이 등등 매일 털던지 세탁하거나 자주 드라이 맡겨야하는데 스타일러 있으면 좀... 사실 저 사립보냈어서 교복 자주 입긴했지만 스타일러 없어도 버틴게 체육복을 주로 입고 가는날이 많아...
스타일러 쓰시는 분~,요즘 스타일러가 너무 사고 싶어요ㅠ 집에 건조기는 있어서 삼성건조기 사용 중이거든요. 건조기 있으면 굳이 스타일러는 필요 없을까요?? 요즘 같이 매일 미세먼지 심한 시대에.. 패딩이나 코트 같은...
에어드레서 또는 스타일러쓰시는분..,에어드레서랑 스타일러 쓰시는 분들.. 장점과 제품 소개 좀 부탁드려요~ 남편이 갑자기 스타일러를 사자고 하는데... 뭐가 좋은지도 모르겠고.. 쓰시는분들 실용적인가요? 어디 제품 쓰시나요? 참고로 용량이...
아파트 옵션 스타일러와 건조기 중에 고민이에요,"이사를 가려고 하는데(신혼때부터 정든 성동구를 떠나게 될 것 같아요ㅠ.ㅠ) A아파트는 스타일러가... 쓰고, 스타일러는 구입하지 않을 예정이에요. A에 있는 스타일러는 예전부터 궁금했어서 한번 써 보고..."
진짜 고민하다가 스타일러 사써용!,싶어서 가끔 검색만 하며 후기만 눈팅하다가 돈이 생겨서 기분으로 건조기랑 스타일러를 샀어요~!!... 와우 스타일러 먼저 도착해서 돌려봤는데 정말 좋네요 ㅜㅜ 밖...
스타일러...고민되네요,요즘 스타일러에 꽂혀서요.. 놓을 장소도 마땅치는 않지만 오늘 보고왔는데요~있으면 유용하긴 하겠지만 가격이 아주 사악하네요~ lg것만 보고 왔는데요..직원분이 말하기로는 드라마틱한 효과를(?)...
LG스타일러 보관,스타일러에 외출 후 겉 옷 걸어 두고 작동이 끝나도 그대로 보관해 두었다 다음날 입어도 되는건가요?... 스타일러 쓰시는 분들 혹시 작동이 멈추면 꺼내서 보관하시나요? 귀찮아서 ㅜㅜ
84A타입 분들 스타일러 어디에 두세요?,"질문 1. 스타일러 현재 사용중이신 분들, 스타일러를 어디에 두면 실질적으로 사용하시기 편해요? 질문 2. 입주 시 스타일러는 어디에 두고 사용하실 예정이세요? ..."
LG스타일러 장만하실 분 저렴하게 같이해요~,지인도 스타일러에 관심이 있어 같이 묶어 구매했을때 조건을 알아보니 조건이 좋아지더라구요 근데 지인은 결국 구매를 안하게 될 것 같아요 그래서 혜택이 아까워 혹시...
스타일러 쓰시는 분들 어떤가요?,중학교 들어가는 딸 교복때문에 셔츠같은거 매일 다려줄수가 없을거 같고 앞으로 미세먼지 황사도 더 심각해질거같아 지금 고민중인데 스타일러 쓰시는 분들 만족 하시나요...
스타일러 vs 건조기,스타일러랑 건조기 중에 하나만 선택해야 한다면 뭐가 나을까요???
스타일러 하나 살까요? 드라이클리닝을 할까요?,나가는데 스타일러 하나 살까 고민중입니다. 부모님 집에도 하나 있던데 처음에는 요상한 미니... 아니라면 스타일러만 사용해도 될거 같더라구요. 제 생각에는 비싼의류 오랫동안 잘 관리해서 입고싶으면...
LG트롬스타일러 미세먼지씻기!!,LG트롬스타일러 미세먼지씻기!! 날씨가 추워진지도 오래된 느낌인뎅 어쩜 아직도 익숙하지가... LG트롬스타일러가그렇게 인기인 것 같더라구요~ 티비광고에서 엄청난 ...
Lg 스타일러.. 신세계..,"다들 잘 쓰시나요 스타일러? 애들 교복 매일 못빠니까 털어주고, 고깃집 갔다왔을때 돌리니 완전 뽀숑의 극치... 그냥 써봐야해요... 대빅... 전 그냥 저게 뭐..."
스타일러가 칼주름을 잡을거란 착각,정장이나 코트류가 많아 산 스타일러 코트류는 스팀기능 때문에 뽀송한 느낌이 나는데 역시 칼주름은 안되는군요.. 다림질도 같이 해야 하네요 다림판을 사야된다는.. ...
스타일러 사용 하시는분들!!,얼마전 LG스타일러를 구입 했는데요!! 아로마 시트..꼭 전용 시트만 넣어야 하나요!? 코스트코 섬유유연제 종이 시트를 넣어 볼까 하는데..다들 어떻게 사용 하시...
차홍 올 힛 스타일러 18000원~~!!,"개인거래(판매), 판매중, 가격 18,000원, 안전거래 미사용, 차홍 올 힛 스타일러 18000원~~!!, 차홍 헤어시스템 올 힛 스타일러 입니다~ 미개봉 상품..."
lg스타일러후기 편리함 너무좋아,lg스타일러후기 편리함 너무좋아 안뇽하세요~~!!>_<//이번에 큰맘먹고 집에 스타일러를 하나 놓았어요 겨울에는 옷도 두꺼워지고 관리하기가 너무 힘들어...
스타일러 신세계♡,겨울옷 드라이 맡기고 찾고 맡기고 찾고 ㅋㅋㅋㅋㅋ 아놔진짜 ㅋㅋㅋㅋㅋ스타일러 하나 사고 나니... ㅋㅋㅋㅋㅋ 가전은 역시 LG입니다♡ 건조기 처음쓸때도 신세계였는...
"스타일러, 건조기 크기고민//인터넷이 싸겠죠?","스타일러3벌짤5벌짤//건조기 14킬로9킬로 고민중요 세탁기는 15킬로짤이예요. 3인가구구요. 스타일러는 3벌짜리 겨울패딩3벌 들어가나요? 가격도 크기도 작은게 좋겠지만, 패딩 하나만 들어간다면 너무..."
스타일러 돌렸어요~~,스타일러 넣고 돌렸어요 ㅋㅋ 옷이 스팀 받았다고 패딩 털들이 빵빵하게 살아나니 좋으네요^^ 뽀송뽀송해여 ♡ 미세먼지도 날라가니 더 좋고요 ㅎㅎ 3번 돌렸네요 ㅋㅋ...
차홍 헤어시스템 올힛 스타일러 크리스탈 에디션,"개인거래(판매), 판매완료, 가격 15,000원, 안전거래 미사용, 차홍 헤어시스템 올힛 스타일러 크리스탈 에디션, 차홍 헤어시스템 올힛 스타일러 크리스탈 에디션..."
스타일러도 갖고싶네요 ㅋㅋ,건조기사고 너무좋았는데 스타일러방송보니 이것도 갖고싶네요 ㅋㅋ 이눔의 물욕!!!! 사도사도 갖고싶은게 또 생기네요..ㅠ
스타일러 좋네요 ㅎㅎ,"작년에 제가 우겨서 스타일러 사놓고 막상 많이 활용을 못했는데요.... 요새 미세먼지가 넘 심해서 매일 외출할때 입었던 다운자켓, 집에와서 스타일러넣고 미세먼지 ..."
스타일러 있으신분 만족하시나요?,건조기사고 삶의 질 대상승했는데 이젠 스타일러가 또 눈에 들어오네요~ 자주 못빠는 패딩이나 니트류 정장류 등 확실히 스타일러 돌리면 좋나요? 냄새나 먼지등 어느정도 효과가 있는지 추천하시는지...
차홍 올힛스타일러,"개인거래(판매), 판매완료, 가격 10,000원, 안전거래 미사용, 차홍 올힛스타일러, 새제품입니다. 구성품빠짐없이 있습니다. 봉고데기 구매하게되어 스타일러고데기..."
스타일러에 인형 돌렸는데 ㅠㅠ,"울집 똑똑이 스타일러에 솜인형을 앉혀서 돌렸는데 솜이 머리끝, 손발끝, 배에 몰렸어요 ㅠㅠ 세탁기돌리면 몰리던데 요것도 습기차게했다가 말려선지 ㅠㅠ 근데 다시 고르게 안되네요.. 패딩같은건..."
에어드레서 vs 스타일러,삼성 에어드레서와 엘지 스타일러.. 어떤거 들이고 싶으세요? ☆무선청소기 삼성 건과 엘지 코드제로 비교하다 삼성건 사서 후회중인 사람입니다.☆ ☆이번엔 진짜 신중하게 사려구요☆
LG트롬스타일러 렌탈 평생 우리 집에 있자,LG 전자 렌탈 라온몰http://rentalshop-lg.com/♥ 1644 - 3540 LG트롬스타일러 렌탈 평생 우리 집에 있자 요즘 주부들 사이에서 한참 ...
"에어드레서, 스타일러 쓰시는분들 만족하세요?",그리고 상의 5개 들어가는거랑 3개 들어가는 두 가지 모델이 있던데(스타일러기준) 어떤게 나을까요? 또 스타일러 할지 에어드레서 할지도 고민이에요. 쓰시는 분들 체험담 듣고 싶어요. 조언 부탁드려요.
건조기랑 스타일러 두개 쓰시는분 계실까요?,세탁기 바꾸면서 건조기는 당연 사려고했는데 아이가 중학교가면서 교복을 입어야 하기에 스타일러에 관심이 가서 ㅋㅋ 알아보지 않고 덜컥 계약하고 왔는데... 건조기랑 스타일러랑 쓰임이 다른거 맞죠?...
스타일러있으면 다리미필요없나요?,"일년에 서너번?쓰나싶네요, 근데 스타일러 구매를했거든요. 배송기다리는중. 다리미 처분해도될까요? 스타일러로는 안되고 다리미가있어야할일이있을까요?"
[문의] 스타일러 어디에 설치하셨어요?,이번에 스타일러 구매하려고 하는데요. 먼저 구매하신분들은 어디에 설치 하셨나요? 저는 1. 거실 소파 옆2. 거실 소파 맞은편3. 안방 옷장 옆 사이즈는 셋 다 넉넉히 여유 있는데..사용하기 편리하게 어디가...
스타일러,미세먼지 땜에 세탁해도 맘에 안드네요:( 구스패딩.모피.울코트에 잘맞는 스타일러 써보시고 만족하신 제품 추천부탁드려요. 심심하니까 센텀서 구매한 샤넬플랫 사진 올...
건조기랑 스타일러 어떤거살까요?,차라리 스타일러를 사볼까요? 스타일러는 안방에 붙박이도 넣어서 드레스룸안에 넣어야할지 장소가 마땅치않긴하네요 친구집서 패딩 돌렸더니 뽀송하고 향도 좋더라구요 저같은경우는 어떤걸살까요?
차홍 올힛스타일러(타중),"개인거래(판매), 판매완료, 가격 10,000원, 안전거래 미사용, 차홍 올힛스타일러(타중), 새제품입니다. 구성품빠짐없이 있습니다. 봉고데기 구매하게되어 스타일..."
의류관리용품인 스타일러 쓰시는분 계신가요?,집에 스타일러를 너무나 들이고픈데요. 가격을 검색해보니 와이드형은 180정도 하더라구요~~^^;; 가격대가 좀 있다보니 선뜻 사기가 망설여지네요. 혹시 스타일러 사용중이신 분 계신가요? 그 가격정도...
스타일러 vs 에어드레서,엘지 스타일러 (먼지를 흔들어서 터는 방식) 삼성 에어드레서 (바람을 위에서 쐬어 먼지를 떨어트리는 방식) 중에 고민중이예요. ㅠ 어떤걸로 구입하는게 좋을까요? :)
스타일러렌탈 있어서 너무 행복행,스타일러렌탈 있어서 너무 행복행 얼마 전 친구가 이사를 하면서 오랜만에 친구 얼굴도 보는 겸... 깔끔하고 예브게 생겨서 물어봤더니 스타일러라고 하대요 요즘 가정...
스타일러 사고파요ㅠ,후 요즘 미세먼지도 문제이고... 외출했다 들어온 옷들도 다 찝찝해요ㅠ 그래서 스타일러 사고싶은데... 주위에 산 집들이 많이 없어서 뭔가 사치인 것 같기도하고 고민이네용 스타일러 있으신가요?
스타일러 샀어요~,하@마트에서 스타일러 결제하고 왔어요~ 몇년전부터 남편이 스타일러 사고싶다 노래를 불렀는데 적금들면 일부분 할인해주는걸 알아와서 구경만 하러 갔다가 덜컥 결제하고 와버렸어요 5벌짜리 미러로...
