광역시도,행정구역,주소,shortName,x,y,유치원_정원_수,유치원_보육교직원_수,유치원_보육실_수,놀이터_수,유치원_CCTV설치_수,스쿨버스_운영비율,0~7세 인구수
강원도,강릉시,강원도 강릉시,강릉,11,4,47.55590062,7.940993789,4.586956522,0.769230769,5.770186335,0.729813665,11025
강원도,고성군,강원도 고성군,고성(강원),9,0,63.26086957,8.217391304,4.347826087,0.869565217,2.869565217,1,1058
강원도,동해시,강원도 동해시,동해,11,5,46.10958904,7.438356164,4.273972603,0.287671233,6.95890411,0.917808219,5589
강원도,삼척시,강원도 삼척시,삼척,11,8,40.42222222,6.533333333,3.933333333,0.755555556,0.568181818,0.911111111,3344
강원도,속초시,강원도 속초시,속초,9,1,49.16935484,8.806451613,4.911290323,0.411290323,4.056451613,0.927419355,4681
강원도,양구군,강원도 양구군,양구,8,0,55.75757576,0,0,0,0,0,1573
강원도,양양군,강원도 양양군,양양,10,2,54.9,8.5,4.75,0.85,4.65,0.95,1034
강원도,영월군,강원도 영월군,영월,10,8,61.6,8.066666667,4.6,0.666666667,1.666666667,1,1418
강원도,원주시,강원도 원주시,원주,10,7,39.89001447,6.558610709,0,0,0,0,22280
강원도,인제군,강원도 인제군,인제,9,2,53.86363636,8.5,4.613636364,0.545454545,6.704545455,0.818181818,2168
강원도,정선군,강원도 정선군,정선,11,6,77.26923077,9.884615385,5.192307692,1.076923077,7.076923077,1,1480
강원도,철원군,강원도 철원군,철원,6,0,73.85714286,9.892857143,5.607142857,0.75,4.178571429,0.892857143,2757
강원도,춘천시,강원도 춘천시,춘천,10,3,42.65102041,7.669387755,4.371428571,0.370143149,5.904081633,0.812244898,17607
강원도,태백시,강원도 태백시,태백,11,7,57.96,9.78,4.82,0.576923077,4.3,0.84,2301
강원도,평창군,강원도 평창군,평창,10,6,58.08823529,8.911764706,4.705882353,0.823529412,6.470588235,0.941176471,1650
강원도,홍천군,강원도 홍천군,홍천,10,4,52.01190476,8.166666667,4.547619048,0.773809524,7.19047619,0.892857143,3361
강원도,화천군,강원도 화천군,화천,7,0,50.97222222,7.972222222,4.638888889,0.5,5.416666667,1,1615
강원도,횡성군,강원도 횡성군,횡성,10,5,56.53846154,7.423076923,4.730769231,0.615384615,9.192307692,0.884615385,1831
경기도,가평군,경기도 가평군,가평,9,3,50.94594595,8.108108108,51.78378378,8.108108108,7.810810811,0.837837838,2975
경기도,고양시,경기도 고양시,고양,4,2,38.58262773,7.658415315,4.20731058,0.351352208,2.792729738,0.382633209,65856
경기도,과천시,경기도 과천시,과천,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3434
경기도,광명시,경기도 광명시,광명,3,3,33.15835777,6.152492669,0,0,0,0.181818182,21520
경기도,광주시,경기도 광주시,광주,8,7,50.87987988,8.498498498,4.762762763,0.528528529,7.42042042,0.678678679,29486
경기도,구리시,경기도 구리시,구리,9,4,34.84242424,7.478787879,3.890909091,0,5.975757576,0.36969697,13858
경기도,군포시,경기도 군포시,군포,5,8,34.74253731,7.111940299,3.690298507,0.186567164,5.291044776,0.339552239,18710
경기도,김포시,경기도 김포시,김포,2,3,35.42105263,7.00228833,3.935632184,0.216091954,5.885057471,0.249427918,41662
경기도,남양주시,경기도 남양주시,남양주,8,3,40.52071006,7.121301775,0,0,0,0,52128
경기도,동두천시,경기도 동두천시,동두천,7,2,37.59649123,7.052631579,4.070175439,0.815789474,5.98245614,0.745614035,5665
경기도,부천시,경기도 부천시,부천,2,4,38.37828947,7.476973684,0,0,0,0.391447368,51931
경기도,성남시,경기도 성남시,성남,7,8,39.84852941,8.110294118,0,0,0,0,58684
경기도,수원시,경기도 수원시,수원,6,9,34.37411972,7.154049296,0,1.128440367,0.99471831,0.309859155,85944
경기도,시흥시,경기도 시흥시,시흥,3,5,41.34562212,7.755760369,4.695852535,2,7,0.559907834,35148
경기도,안산시,경기도 안산시,안산,3,6,43.5027933,8.355679702,4.955307263,0.296089385,6.582867784,0.659217877,38120
경기도,안성시,경기도 안성시,안성,4,8,46.11057692,7.495192308,5.081730769,0.370192308,6.451923077,0.668269231,12211
경기도,안양시,경기도 안양시,안양,3,4,36.5966736,7.415800416,0,0,0,0,35201
경기도,양주시,경기도 양주시,양주,8,2,28.64257028,7.172690763,4.072289157,0.297188755,6.510040161,0.702811245,15487
경기도,양평군,경기도 양평군,양평,9,6,60.78571429,10.375,6.071428571,0.732142857,7.285714286,0.839285714,6039
경기도,여주시,경기도 여주시,여주,9,7,50.51388889,8.819444444,5.083333333,0.652777778,7.027777778,0.597222222,6290
경기도,연천군,경기도 연천군,연천,7,1,37.69444444,7.777777778,4.138888889,1,6.055555556,0.805555556,2561
경기도,오산시,경기도 오산시,오산,3,8,37.08560311,7.747081712,4.112840467,1.029411765,6.171206226,0.225680934,20442
경기도,용인시,경기도 용인시,용인,7,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,82881
경기도,의왕시,경기도 의왕시,의왕,6,8,41.78787879,7.825757576,0,0,6.136363636,0.295454545,9754
경기도,의정부시,경기도 의정부시,의정부,7,3,36.55408389,6.761589404,4.017660044,0.105960265,5.794701987,0.598233996,28200
경기도,이천시,경기도 이천시,이천,8,8,59.6779661,10.70621469,0,0,0,0,16235
경기도,파주시,경기도 파주시,파주,3,2,36.52238806,6.771855011,3.961620469,1.068965517,5.61965812,0.488272921,36764
경기도,평택시,경기도 평택시,평택,5,9,43.11352657,7.309178744,4.531400966,0,6.376811594,0.68115942,37252
경기도,포천시,경기도 포천시,포천,8,1,50.3539823,8.831858407,4.707964602,0.681415929,7.814159292,0.85840708,7747
경기도,하남시,경기도 하남시,하남,9,5,40.33944954,7.871559633,0,0,6,0.275229358,22957
경기도,화성시,경기도 화성시,화성,3,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80705
경상남도,거제시,경상남도 거제시,거제,9,20,43.11698113,8.349056604,4.624528302,0.377358491,4.747169811,0.660377358,24206
경상남도,거창군,경상남도 거창군,거창,6,15,55.61538462,8.6,5.353846154,1.02,5.923076923,0.892307692,3231
경상남도,고성군,경상남도 고성군,고성(경남),7,19,67.875,9.958333333,5.416666667,1,10.60416667,0.854166667,2363
경상남도,김해시,경상남도 김해시,김해,8,19,36.3150289,6.430635838,4.351637765,0.289017341,4.055876686,0.877649326,40649
경상남도,남해군,경상남도 남해군,남해,6,19,57.57692308,10.53846154,5.307692308,0.653846154,4.038461538,1,1308
경상남도,밀양시,경상남도 밀양시,밀양,8,16,49.10169492,8.118644068,4.898305085,0.677966102,1.101694915,0.983050847,4795
경상남도,사천시,경상남도 사천시,사천,6,18,56.30392157,8.960784314,5.294117647,0.725490196,5.715686275,0.882352941,7253
경상남도,산청군,경상남도 산청군,산청,5,18,54.70833333,8.458333333,5.291666667,1,5.208333333,1,1274
경상남도,양산시,경상남도 양산시,양산,8,17,36.38817481,7.051413882,4.087628866,0.453608247,2.010309278,0.754498715,30011
경상남도,의령군,경상남도 의령군,의령,7,16,44.8,7.25,4.95,0.55,5.35,1,974
경상남도,진주시,경상남도 진주시,진주,6,17,51.60207612,8.738754325,5.269896194,0.39100346,5.058823529,0.846020761,23341
경상남도,창녕군,경상남도 창녕군,창녕,7,15,58.39215686,8.490196078,5.333333333,0.862745098,5.470588235,0.941176471,2931
